Variable,Moyenne_votees,Moyenne_non_votees,Mediane_votees,Mediane_non_votees,Ecart_type_votees,Ecart_type_non_votees,Mann_Whitney_U,MW_p_value,KS_stat,KS_p_value,Rank_biserial_r
conv_turns,1.34,1.38,1.0,1.0,1.19,1.89,26484028489.0,0.00e+00,0.1553,0.00e+00,-0.0839
total_output_tokens,2056.14,2005.45,1554.0,1212.0,2193.44,3517.93,28789924770.5,0.00e+00,0.1901,0.00e+00,-0.1783
categories,-,-,-,-,-,-,-,-,chi2=6685.33,0.00e+00,V=0.0809
