,count,mean,std,min,25%,50%,75%,max,missing_rate
novelty_distinct_n,1993.0,0.8580061487379416,0.10461520601320126,0.28756476683937826,0.8051420838971584,0.875,0.9326424870466321,1.0,0.0035
novelty_distinct_n_norm,1993.0,0.47833218865176613,0.1684618145299094,0.009879931936823103,0.36635095154056385,0.5,0.6111375817598331,0.7271854069157268,0.0035
novelty_mattr,1997.0,0.7919440602088897,0.07600591681247305,0.4636395147313691,0.7550181818181818,0.796,0.835639097744361,1.0,0.0015
novelty_mattr_norm,1997.0,0.493029414032463,0.18576616074644478,0.0159454247607079,0.3755857107643503,0.5,0.620500381928592,0.9262430014181957,0.0015
novelty_ngram_rarity,1993.0,11.675252582045385,0.5102233435238755,9.338327171715356,11.34294605559199,11.63044102670019,11.960030927158927,13.2503501771435,0.0035
novelty_ngram_rarity_norm,1993.0,0.5127362224109733,0.17597404403481437,0.023789768379717476,0.385588986449886,0.5,0.6304407020638623,0.9324595716988401,0.0035
novelty_score,2000.0,0.4966806313355021,0.11289940120766918,0.14349817073240317,0.4234138338991523,0.4968180988589679,0.5737131376068847,0.824075544060224,0.0
novelty_semantic_distance_centroid,2000.0,0.6071549185216427,0.14168919432269303,0.2467060685157776,0.49651993811130524,0.6050406694412231,0.7103610187768936,1.0150434970855713,0.0
novelty_semantic_distance_centroid_norm,2000.0,0.5016400664628621,0.1531274551914137,0.15766501524525112,0.37578373485850913,0.5,0.6206991682912244,0.8718398277047389,0.0
surprise_distance_to_neighbors,2000.0,0.59525492400527,0.15111170619515932,0.05867878198623657,0.5074313163757324,0.6011602580547333,0.6994054406881332,1.0046864032745362,0.0
surprise_distance_to_neighbors_norm,2000.0,0.4961220946008216,0.1706754517278141,0.05594553744181431,0.38030888599977364,0.49999999999999994,0.6252195826375638,0.891095665187847,0.0
surprise_divergent_idea_count,1914.0,15.021421107628004,13.780789255376163,1.0,6.0,11.0,19.0,114.0,0.043
surprise_divergent_idea_count_norm,1914.0,0.5463448706602044,0.1796588839405981,0.316645529812217,0.40501420647722836,0.5,0.6491681249887726,0.9996378453195534,0.043
surprise_divergent_score,1914.0,17.41441129583699,15.986032709334484,1.0,6.71585142714835,12.73154919515615,22.201169679821106,135.61148486698727,0.043
surprise_divergent_score_norm,1914.0,0.5464196035307318,0.177313291914343,0.3191693537871134,0.4040838645274589,0.5,0.6482878662619128,0.9996422270427552,0.043
surprise_prompt_response_distance,2000.0,0.34424116119742393,0.18240653018796033,0.002377152442932129,0.2056422233581543,0.303072065114975,0.4448432922363281,1.0682860612869263,0.0
surprise_prompt_response_distance_norm,2000.0,0.5322746151327777,0.16293169063964158,0.22147693968980578,0.3995565240411041,0.5,0.6439812894892785,0.9607981675944971,0.0
surprise_score,2000.0,0.522868027416076,0.10368990872690302,0.2231393344440816,0.45389825763392794,0.5233124377705931,0.5893488151834116,0.9195934490510274,0.0
surprise_unexpected_variance,1914.0,0.1492866709235262,0.06028640376828151,0.0,0.12027289474398814,0.15245331651817584,0.18448627409693474,0.4031905726721235,0.043
surprise_unexpected_variance_norm,1914.0,0.4934593311097045,0.19229856551560076,0.0851638857079491,0.3772708782658488,0.5,0.6221894510168615,0.9802518745981708,0.043
value_bertscore_f1,1997.0,-0.00654721469614008,0.17802226780141148,-0.5908843278884888,-0.11164126545190811,-0.01985856145620346,0.06704093515872955,0.9644625782966614,0.0015
value_bertscore_f1_norm,1997.0,0.5074224951034031,0.18876071144010942,0.03932552238091669,0.3743348738589905,0.5,0.6192427896384832,0.9959653027668689,0.0015
value_local_coherence,1914.0,0.37824767773761914,0.11565020970852682,-0.0004394166171550751,0.30610732678399394,0.37033360290595074,0.43679592419754376,0.8786229491233826,0.043
value_local_coherence_norm,1914.0,0.5090833218628262,0.18406766035100472,0.05535341844069959,0.3795531913639321,0.5,0.6244676374255302,0.9799508707326011,0.043
value_rouge_l_prompt_response,1997.0,0.5342700601885303,0.2343070616698439,0.0,0.375,0.5384615384615384,0.7,1.0,0.0015
value_rouge_l_prompt_response_norm,1997.0,0.49762346555080483,0.16345300082998931,0.16019138987074455,0.3768456438615907,0.5,0.6217638024601246,0.8053569682174992,0.0015
value_score,1997.0,0.5054575390208975,0.1128530085463799,0.14045756341142135,0.433572745150137,0.4999458588868963,0.5691407303802879,0.8982859491761506,0.0015
